EC_ID,dataset,model,system,ratio,Selection frequency,#Runs
320,audioMnist,CNN,Random,0.05,20,5
321,audioMnist,CNN,Random,0.1,20,5
322,audioMnist,CNN,Random,0.2,20,5
323,audioMnist,CNN,Random,0.3,20,5
324,voxceleb,LSTM,Full,1.0,20,5
325,voxceleb,LSTM,Craig,0.05,20,5
326,voxceleb,LSTM,Craig,0.1,20,5
327,voxceleb,LSTM,Craig,0.2,20,5
328,voxceleb,LSTM,Craig,0.3,20,5
329,voxceleb,LSTM,Glister,0.05,20,5
330,voxceleb,LSTM,Glister,0.1,20,5
331,voxceleb,LSTM,Glister,0.2,20,5
332,voxceleb,LSTM,Glister,0.3,20,5
333,voxceleb,LSTM,GradMatch,0.05,20,5
334,voxceleb,LSTM,GradMatch,0.1,20,5
335,voxceleb,LSTM,GradMatch,0.2,20,5
336,voxceleb,LSTM,GradMatch,0.3,20,5
337,voxceleb,LSTM,Random,0.05,20,5
338,voxceleb,LSTM,Random,0.1,20,5
339,voxceleb,LSTM,Random,0.2,20,5
340,voxceleb,LSTM,Random,0.3,20,5
341,voxceleb,CNN,Full,1.0,20,5
342,voxceleb,CNN,Craig,0.05,20,5
343,voxceleb,CNN,Craig,0.1,20,5
344,voxceleb,CNN,Craig,0.2,20,5
345,voxceleb,CNN,Craig,0.3,20,5
346,voxceleb,CNN,Glister,0.05,20,5
347,voxceleb,CNN,Glister,0.1,20,5
348,voxceleb,CNN,Glister,0.2,20,5
349,voxceleb,CNN,Glister,0.3,20,5
350,voxceleb,CNN,GradMatch,0.05,20,5
351,voxceleb,CNN,GradMatch,0.1,20,5
352,voxceleb,CNN,GradMatch,0.2,20,5
353,voxceleb,CNN,GradMatch,0.3,20,5
354,voxceleb,CNN,Random,0.05,20,5
355,voxceleb,CNN,Random,0.1,20,5
356,voxceleb,CNN,Random,0.2,20,5
357,voxceleb,CNN,Random,0.3,20,5
